Sale ID,Date,Item ID,Batch ID,Product Type,Species,Grade,Finish,Dominant Color,Color Count (#),Customer Type,Customer Name,Country,City,Channel,Lead Source,Price (CAD),Discount (CAD),Shipping (CAD),Taxes Collected (CAD),Payment Method,COA #,Shipped Date,Consignment? (Y/N),Consignment Owner,Export Permit (PDF link),length,width,weight,,,,,,,,
S-0001,2025-04-13,I-0001,B-2025-001,Gemstone,Spinel,AA,Coated,Blue,4,Retail Collector,Customer 0,Canada,Montreal,In-Person,Instagram,441.56,39.1,31.78,52.99,PayPal,COA-5000,2025-06-22 00:00:00,N,,https://example.com/export_permit_0.pdf,3.61,4.84,11.96,,,,,,,,
S-0002,2025-09-28,I-0002,B-2025-002,Gemstone,Garnet,A,Coated,Purple,3,Gallery,Customer 1,Canada,Montreal,Online,Walk-in,538.59,1.39,21.42,64.63,Credit Card,COA-5001,2025-03-25 00:00:00,N,,https://example.com/export_permit_1.pdf,3.94,14.44,16.2,,,,,,,,
S-0003,2025-04-17,I-0003,B-2025-003,Gemstone,Topaz,AA,Coated,Orange,3,Retail Collector,Customer 2,Canada,Montreal,Online,Instagram,316.29,44.46,33.55,37.95,PayPal,COA-5002,2025-11-27 00:00:00,Y,,https://example.com/export_permit_2.pdf,4.54,5.66,5.98,,,,,,,,
S-0004,2025-03-13,I-0004,B-2025-004,Gemstone,Quartz,AA,Coated,Red,3,Gallery,Customer 3,USA,New York,In-Person,Referral,239.1,42.38,6.47,28.69,Credit Card,COA-5003,2025-07-24 00:00:00,Y,GemWorld,https://example.com/export_permit_3.pdf,12.56,14.48,13.5,,,,,,,,
S-0005,2025-07-08,I-0005,B-2025-005,Gemstone,Garnet,A,Coated,Orange,3,Retail Collector,Customer 4,Canada,Calgary,In-Person,Instagram,220.75,9.09,19.29,26.49,PayPal,COA-5004,2025-10-14 00:00:00,N,,https://example.com/export_permit_4.pdf,13.73,8.58,18.98,,,,,,,,
S-0006,2025-01-21,I-0006,B-2025-006,Gemstone,Topaz,AA,Coated,Orange,4,Gallery,Customer 5,USA,Portland,In-Person,Walk-in,176.03,18.71,10.33,21.12,PayPal,COA-5005,2025-12-10 00:00:00,N,,https://example.com/export_permit_5.pdf,3.13,6.78,11.4,,,,,,,,
S-0007,2025-04-13,I-0007,B-2025-007,Gemstone,Opal,AAA,Coated,Orange,3,Gallery,Customer 6,USA,Los Angeles,Wholesale,Website,289.86,26.53,20.02,34.78,Bank Transfer,COA-5006,2025-03-05 00:00:00,N,,https://example.com/export_permit_6.pdf,11.32,2.82,16.17,,,,,,,,
S-0008,2025-05-02,I-0008,B-2025-008,Gemstone,Topaz,AAA,Coated,Blue,3,Gallery,Customer 7,USA,Portland,Online,Walk-in,43.25,21.38,25.14,5.19,Credit Card,COA-5007,2025-10-12 00:00:00,N,,https://example.com/export_permit_7.pdf,13.87,6.28,14.07,,,,,,,,
S-0009,2025-08-03,I-0009,B-2025-009,Gemstone,Spinel,AA,Coated,Yellow,2,Retail Collector,Customer 8,Canada,Montreal,Wholesale,Referral,588.59,32.11,26.89,70.63,Credit Card,COA-5008,2025-11-07 00:00:00,N,,https://example.com/export_permit_8.pdf,12.01,13.26,7.69,,,,,,,,
S-0010,2025-03-29,I-0010,B-2025-010,Gemstone,Quartz,AA,Coated,Yellow,2,Gallery,Customer 9,Canada,Vancouver,Online,Website,531.49,23.81,33.67,63.78,Credit Card,COA-5009,2025-02-04 00:00:00,N,,https://example.com/export_permit_9.pdf,12.92,11.21,12.88,,,,,,,,
S-0011,2025-04-10,I-0011,B-2025-011,Gemstone,Garnet,AA,Coated,Blue,1,Retail Collector,Customer 10,USA,Seattle,Online,Referral,556.12,49.74,29.23,66.73,Bank Transfer,COA-5010,2025-06-09 00:00:00,Y,StoneHouse,https://example.com/export_permit_10.pdf,11.02,5.72,7.58,,,,,,,,
S-0012,2025-06-01,I-0012,B-2025-012,Gemstone,Quartz,A,Coated,Yellow,1,Gallery,Customer 11,USA,Seattle,In-Person,Instagram,766.76,0.57,9.67,92.01,PayPal,COA-5011,2025-05-09 00:00:00,N,,https://example.com/export_permit_11.pdf,9.34,2.02,6.58,,,,,,,,
S-0013,2025-05-11,I-0013,B-2025-013,Gemstone,Topaz,AAA,Coated,Yellow,1,Retail Collector,Customer 12,USA,Seattle,Online,Walk-in,235.18,19.7,27.63,28.22,PayPal,COA-5012,2025-07-14 00:00:00,N,,https://example.com/export_permit_12.pdf,5.23,14.6,2.93,,,,,,,,
